id,name,item_type,rare,base,enemy,week,num
1,スライムの液体,field,1,スライムの液体,スライム,,254
2,スライムの分泌物,field,2,スライムの液体,スライム,,257
3,スライムのピュレ,field,3,スライムの液体,スライム,,98
4,破損した仮面,field,1,破損した仮面,ヒルチャール,,828
5,汚れた仮面,field,2,破損した仮面,ヒルチャール,,196
6,不吉な仮面,field,3,破損した仮面,ヒルチャール,,40
7,占いの絵巻,field,1,占いの絵巻,ヒルチャールシャーマン,,132
8,封魔の絵巻,field,2,占いの絵巻,ヒルチャールシャーマン,,84
9,禁呪の絵巻,field,3,占いの絵巻,ヒルチャールシャーマン,,138
10,牢固な矢先,field,1,牢固な矢先,ヒルチャール・射手,,452
11,鋭利な矢先,field,2,牢固な矢先,ヒルチャール・射手,,124
12,歴戦の矢先,field,3,牢固な矢先,ヒルチャール・射手,,14
13,重い角笛,field,1,重い角笛,ヒルチャール王者,,2008
14,黒銅の角笛,field,2,重い角笛,ヒルチャール王者,,364
15,黒晶の角笛,field,3,重い角笛,ヒルチャール王者,,74
16,地脈の旧枝,field,1,地脈の旧枝,アビスの魔術師,,477
17,地脈の枯れ葉,field,2,地脈の旧枝,アビスの魔術師,,132
18,地脈の新芽,field,3,地脈の旧枝,アビスの魔術師,,25
19,混沌の装置,field,1,混沌の装置,遺跡守衛,,817
20,混沌の回路,field,2,混沌の装置,遺跡守衛,,164
21,混沌の炉心,field,3,混沌の装置,遺跡守衛,,17
22,霧虚ろの花粉,field,1,霧虚ろの花粉,ファデュイ・蛍術師,,576
23,霧虚ろの草嚢,field,2,霧虚ろの花粉,ファデュイ・蛍術師,,123
24,霧虚ろの灯芯,field,3,霧虚ろの花粉,ファデュイ・蛍術師,,27
25,猟兵の刀,field,1,猟兵の刀,ファデュイ・デットエージェント,,355
26,エージェントの刀,field,2,猟兵の刀,ファデュイ・デットエージェント,,102
27,検査官の刀,field,3,猟兵の刀,ファデュイ・デットエージェント,,39
28,新兵の記章,field,1,新兵の記章,ファデュイ,,730
29,士官の記章,field,2,新兵の記章,ファデュイ,,372
30,尉官の記章,field,3,新兵の記章,ファデュイ,,34
31,宝探しの鴉マーク,field,1,宝探しの鴉マーク,宝盗団,,1148
32,シルバーの鴉マーク,field,2,宝探しの鴉マーク,宝盗団,,235
33,ゴールドの鴉マーク,field,3,宝探しの鴉マーク,宝盗団,,19
34,トリックフラワーの蜜,field,1,トリックフラワーの蜜,トリックフラワー,,179
35,微光花の蜜,field,2,トリックフラワーの蜜,トリックフラワー,,282
36,原素花の蜜,field,3,トリックフラワーの蜜,トリックフラワー,,222
37,脆い骨片,field,1,脆い骨片,ヴィシャップ,,1885
38,丈夫な骨片,field,2,脆い骨片,ヴィシャップ,,506
39,石化した骨片,field,3,脆い骨片,ヴィシャップ,,132
40,古びた鍔,field,1,古びた鍔,野伏衆,,167
41,影打の鍔,field,2,古びた鍔,野伏衆,,332
42,名刀の鍔,field,3,古びた鍔,野伏衆,,90
43,混沌の機関,field,1,混沌の機関,遺跡機兵,,772
44,混沌の中枢,field,2,混沌の機関,遺跡機兵,,152
45,混沌の真眼,field,3,混沌の機関,遺跡機兵,,4
46,暗色プリズム,field,1,暗色プリズム,ファデュイ・冬国の仕女,,304
47,水晶プリズム,field,2,暗色プリズム,ファデュイ・冬国の仕女,,17
48,偏光プリズム,field,3,暗色プリズム,ファデュイ・冬国の仕女,,4
49,フライムの乾核,field,1,フライムの乾核,フライム,,33
50,フライムの幽核,field,2,フライムの乾核,フライム,,29
51,フライムの晶化核,field,3,フライムの乾核,フライム,,60
52,隠獣の指爪,field,1,隠獣の指爪,獣域ウルブズ,,1069
53,隠獣の利爪,field,2,隠獣の指爪,獣域ウルブズ,,311
54,隠獣の鬼爪,field,3,隠獣の指爪,獣域ウルブズ,,77
55,暗晦の彫刻,field,1,暗晦の彫刻,黒蛇衆,,818
56,黒夜の彫刻,field,2,暗晦の彫刻,黒蛇衆,,197
57,幽邃なる彫刻,field,3,暗晦の彫刻,黒蛇衆,,58
58,キノコンの胞子,field,1,キノコンの胞子,キノコン,,143
59,キノコンの蛍胞子,field,2,キノコンの胞子,キノコン,,197
60,キノコンの晶胞子,field,3,キノコンの胞子,キノコン,,128
61,キノコンの衰菌核,field,1,キノコンの衰菌核,キノコン,,406
62,キノコンの眠菌核,field,2,キノコンの衰菌核,キノコン,,105
63,キノコンの壮菌核,field,3,キノコンの衰菌核,キノコン,,52
64,色褪せた赤い絹,field,1,色褪せた赤い絹,エルマイト旅団,,582
65,縁飾の赤い絹,field,2,色褪せた赤い絹,エルマイト旅団,,178
66,金織の赤い絹,field,3,色褪せた赤い絹,エルマイト旅団,,18
67,混沌ストレージ,field,1,混沌ストレージ,遺跡ドレイク,,102
68,混沌モジュール,field,2,混沌ストレージ,遺跡ドレイク,,30
69,混沌ボルト,field,3,混沌ストレージ,遺跡ドレイク,,8
70,壊れたプリズム,field,1,壊れたプリズム,プライマル構造体,,308
71,濁ったプリズム,field,2,壊れたプリズム,プライマル構造体,,40
72,輝くプリズム,field,3,壊れたプリズム,プライマル構造体,,8
73,毀れた背骨,field,1,毀れた背骨,聖骸獣,,94
74,堅固な背骨,field,2,毀れた背骨,聖骸獣,,36
75,刻紋の背骨,field,3,毀れた背骨,聖骸獣,,6
76,何処かで摘まれた咲きかけの花,field,1,何処かで摘まれた咲きかけの花,ヒルチャールレンジャー,,164
77,誰かが大切にしていた花,field,2,何処かで摘まれた咲きかけの花,ヒルチャールレンジャー,,49
78,流浪者の満開の花,field,3,何処かで摘まれた咲きかけの花,ヒルチャールレンジャー,,10
79,異海の露,field,1,異海の露,原海アベラント,,259
80,異海の塊,field,2,異海の露,原海アベラント,,112
81,色変わりの結晶,field,3,異海の露,原海アベラント,,11
